Twinning town/ city name,UK town/ city name,EUR town/ city name,EUR Country,EUR UA Code ,UK UA Code ,EUR_TT1060I,UK_TT1060I,EUR_SA2007I,UK_SA2007I,EUR_DE1059I,UK_DE1059I,EUR_DE1061I,UK_DE1061I,EUR_DE1057I,UK_DE1057I,EUR_DE1055I,UK_DE1055I,EUR_DE1073I,UK_DE1073I,EUR_DE1058I,UK_DE1058I,EUR_DE2001I,UK_DE2001I,EUR_TT1057V,UK_TT1057V,EUR_EC2009I,UK_EC2009I,EUR_TE2028I,UK_TE2028I,EUR_DE1064I,UK_DE1064I,EUR_DE1025I,UK_DE1025I,EUR_DE1085I,UK_DE1085I,EUR_EC2022I,UK_EC2022I,EUR_TT1057I,UK_TT1057I,EUR_DE1060I,UK_DE1060I,EUR_DE1003I,UK_DE1003I,EUR_TT1060V,UK_TT1060V,EUR_EC1174V,UK_EC1174V,EUR_SA2029I,UK_SA2029I,EUR_DE1028I,UK_DE1028I,EUR_EC1180V,UK_EC1180V,EUR_DE1076I,UK_DE1076I,EUR_DE2007I,UK_DE2007I,EUR_DE1073V,UK_DE1073V,EUR_CR1015V,UK_CR1015V,EUR_SA2018V,UK_SA2018V,EUR_SA2021V,UK_SA2021V,EUR_SA2019V,UK_SA2019V,EUR_CR1010V,UK_CR1010V,EUR_SA2020V,UK_SA2020V,EUR_SA2017V,UK_SA2017V,EUR_DE1049I,UK_DE1049I,EUR_DE2012V,UK_DE2012V,EUR_SA2007V,UK_SA2007V,EUR_EC1001V,UK_EC1001V,EUR_DE1040I,UK_DE1040I,EUR_SA2004I,UK_SA2004I,EUR_EC1003V,UK_EC1003V,EUR_EC1002V,UK_EC1002V,EUR_EC1179V,UK_EC1179V,EUR_DE1084I,UK_DE1084I,EUR_DE2009V,UK_DE2009V,EUR_DE2002V,UK_DE2002V,EUR_DE2010V,UK_DE2010V,EUR_DE1046I,UK_DE1046I,EUR_DE2008V,UK_DE2008V,EUR_SA2004V,UK_SA2004V,EUR_EC1012V,UK_EC1012V,EUR_DE2001V,UK_DE2001V,EUR_DE2003V,UK_DE2003V,EUR_DE2008I,UK_DE2008I,EUR_EC1010V,UK_EC1010V,EUR_SA1005V,UK_SA1005V,EUR_SA2013V,UK_SA2013V,EUR_SA1001V,UK_SA1001V,EUR_EC1011V,UK_EC1011V,EUR_EC1177V,UK_EC1177V,EUR_TE2031V,UK_TE2031V,EUR_EC2037V,UK_EC2037V,EUR_EN4008V,UK_EN4008V,EUR_DE2003I,UK_DE2003I,EUR_EC2020V,UK_EC2020V,EUR_DE1074V,UK_DE1074V,EUR_SA1004V,UK_SA1004V,EUR_EC1003I,UK_EC1003I,EUR_TE2031I,UK_TE2031I,EUR_EC1011I,UK_EC1011I,EUR_DE2009I,UK_DE2009I,EUR_EC2022V,UK_EC2022V,EUR_DE1060V,UK_DE1060V,EUR_DE1079V,UK_DE1079V,EUR_EC1020I,UK_EC1020I,EUR_EC2008I,UK_EC2008I,EUR_EC1012I,UK_EC1012I,EUR_EC2009V,UK_EC2009V,EUR_DE2011V,UK_DE2011V,EUR_DE1078V,UK_DE1078V,EUR_DE1047V,UK_DE1047V,EUR_EC2038V,UK_EC2038V,EUR_DE1040V,UK_DE1040V,EUR_DE1075V,UK_DE1075V,EUR_EC1001I,UK_EC1001I,EUR_EC2032V,UK_EC2032V,EUR_EC2034V,UK_EC2034V,EUR_DE1046V,UK_DE1046V,EUR_DE1061V,UK_DE1061V,EUR_DE1076V,UK_DE1076V,EUR_EC2021V,UK_EC2021V,EUR_EC1002I,UK_EC1002I,EUR_EC1176V,UK_EC1176V,EUR_EC2008V,UK_EC2008V,EUR_DE2002I,UK_DE2002I,EUR_EC2033V,UK_EC2033V,EUR_DE1049V,UK_DE1049V,EUR_DE1050V,UK_DE1050V,EUR_EC2036V,UK_EC2036V,EUR_EC1178V,UK_EC1178V,EUR_DE1042V,UK_DE1042V,EUR_EC1175V,UK_EC1175V,EUR_DE1056V,UK_DE1056V,EUR_DE1062V,UK_DE1062V,EUR_DE1077V,UK_DE1077V,EUR_DE1041V,UK_DE1041V,EUR_TE1026I,UK_TE1026I,EUR_EC2035V,UK_EC2035V,EUR_DE1058V,UK_DE1058V,EUR_DE1003V,UK_DE1003V,EUR_TE2028V,UK_TE2028V,EUR_DE1059V,UK_DE1059V,EUR_DE1048V,UK_DE1048V,EUR_DE1051V,UK_DE1051V,EUR_DE1029V,UK_DE1029V,EUR_DE1027V,UK_DE1027V,EUR_DE1026V,UK_DE1026V,EUR_DE1028V,UK_DE1028V,EUR_DE1030V,UK_DE1030V,EUR_DE1055V,UK_DE1055V,EUR_DE1066V,UK_DE1066V,EUR_DE1064V,UK_DE1064V,EUR_DE1025V,UK_DE1025V,EUR_DE1002V,UK_DE1002V,EUR_SA1013V,UK_SA1013V,EUR_SA1025V,UK_SA1025V,EUR_DE1057V,UK_DE1057V,EUR_DE1065V,UK_DE1065V,EUR_DE1001V,UK_DE1001V,EUR_SA3005V,UK_SA3005V,EUR_DE1063V,UK_DE1063V,EUR_DE3004I,UK_DE3004I,EUR_DE3017V,UK_DE3017V,EUR_EC2039V,UK_EC2039V,EUR_DE3001V,UK_DE3001V,EUR_TE1028V,UK_TE1028V,EUR_TE1027V,UK_TE1027V,EUR_TE2025V,UK_TE2025V,EUR_TE1026V,UK_TE1026V,EUR_SA1011V,UK_SA1011V,EUR_SA1050V,UK_SA1050V,EUR_SA1051V,UK_SA1051V,EUR_SA1012V,UK_SA1012V,EUR_SA2016V,UK_SA2016V
Colchester/Wetzlar,Colchester,Wetzlar,Germany,DE079C1,UK546C1,:,:,:,11.17,32.4,39.9,0.7,1.3,156.3,131.1,11.9,7.6,12.5,14.6,69.6,69,83.6,89.8,:,"88,822",21.2,6.5,:,52.3,15,13.4,14.1,10.6,4.6,5.5,3.6,4.6,:,464.3,37.2,29.1,107.3,101.2,:,:,"25,537","95,100",:,8.363,10,9.6,"5,340","13,600",11.6,12.7,16.4,8.8,:,37.9,:,4,:,103,:,852,:,"1,600",:,:,:,748,:,129,5.9,7.9,"8,671","16,801",:,"2,137","26,528","99,600",4.8,6,:,2.808,"12,264","46,400","14,264","53,200","11,203","42,200",4.4,6.2,:,"21,676",:,"8,511",:,"8,449",5.3,5.9,:,"167,375",:,6,680,"2,000","44,157","171,842",:,"8,290",:,87.5,"1,707","2,500","13,528","17,360",:,51,"26,022","80,570","1,027",:,"23,943","93,000",:,"42,100","10,662","27,900",:,56.84,:,4.3,"36,732","87,236","2,312","11,901","12,494","54,320",51.6,58.2,:,42.9,7.2,:,:,11.3,"1,307","4,000","3,203","13,855","1,207","5,109",6.4,2.5,0.1,1,5.5,4.3,"7,803","5,663",:,"13,227","1,230","5,419","1,413","5,843","1,850","4,100","2,557","11,508","1,210","6,159",58.3,63.3,"8,228","23,500","1,085","2,500","2,799","11,268","6,110","24,264","1,102","5,742",:,"7,040",65.6,68.5,"11,850","43,900",30,900,:,4.4,864,"2,250","3,111","15,114","1,606","8,073","4,359","13,800","12,740","50,800","1,254","5,700","13,687","51,200","2,449","6,259","2,966","12,112","2,437","10,528","1,303","5,808",28,77,545,"2,000","6,583","28,013","27,343","96,216",:,"51,300","3,380","14,158","1,386","5,425","1,505","7,041","2,456","8,683","3,835","10,320","3,598","9,868","5,300","18,439","2,844","9,756","6,278","14,466","4,034","12,910","7,908","25,626","7,433","20,187","25,485","95,095",:,:,:,648,"3,829","8,208","3,874","12,716","52,828","191,311",:,3,"3,144","12,152",:,2.4,:,"189,051",:,"8,315",:,"79,178",:,"8,230",:,"6,525",:,"5,400","1,491","14,760",:,:,:,"362,027.00",:,"184,017.00",:,:,:,232
Coventry/Bologna,Coventry,Bologna,Italy,IT009C1,UK025C1,0.642,0.468,7.941,11.831,26.5,40.6,0.2,1.9,166.2,135,14.4,6.5,12.1,17.9,69,63,84.7,83.8,"207,500","130,827",:,:,:,51.1,15.5,11.2,12.6,9.1,3.8,5.6,:,2.7,533.1,359.9,42.5,22.3,111.8,97.3,25,17,:,"175,700",11.902,7.649,10.7,7.2,:,"22,300",14.9,11.9,15.3,16.3,:,32.1,:,5,171,188,"2,541","1,412","4,633","2,780",:,17,"2,092","1,368",226,284,4.1,11.3,"59,698","59,132","3,091","4,300",:,"187,100",4,6.4,:,3.488,:,"87,400",:,"99,700",:,"78,000",4,6.6,:,"80,950","13,382","29,963",:,"26,302",3.8,6.4,:,"282,597",:,15,:,"4,900","329,563","304,415","46,316","29,169",:,77.8,:,"9,300",:,"27,630",:,137,:,"140,610",:,"4,400",:,"167,800",:,"75,400",:,"50,800",226.62,166.03,11.9,8,:,"163,733","15,475","23,914",:,"105,400",:,59.6,:,41.4,:,4.4,:,22.3,:,"4,500","23,424","30,982","7,046","9,883",:,5,:,0.1,:,5.6,:,:,:,"54,648","7,792","10,296","7,855","12,225",:,"6,100","15,706","23,182","7,977","12,479",:,63.2,:,"38,600",:,"5,000","14,924","23,349","57,991","43,201","7,498","11,435",:,"9,845",:,66.7,:,"82,400",:,150,3.4,8.2,:,"4,500","15,861","40,960","8,182","21,882",:,"28,400",:,"89,700","7,712","11,270",:,"93,200","21,095","9,991","29,182","21,933","14,838","20,178","7,994","11,912",:,165,:,"2,500","46,916","65,163","205,434","179,249",:,"93,100","23,492","34,181","7,069","11,124","7,679","19,078","18,576","12,645","26,614","16,482","22,597","16,507","41,775","26,341","23,199","13,696","56,164","23,476","31,315","20,548","60,400","40,718","49,211","32,988","183,827","184,218",:,:,:,"1,336","35,069","13,486","29,085","20,170","389,261","363,467",3,7,"28,809","21,269",1.9,2.5,"386,416","363,547",:,"11,800","207,586","143,374",:,"29,070",:,"30,705",:,"21,000",:,"59,830",:,:,:,"230,033.81",:,"138,308.00",:,:,397,472
Coventry/Dresden,Coventry,Dresden,Germany,DE009C1,UK025C1,0.163,0.468,:,11.831,31.1,40.6,0.7,1.9,146.9,135,12.4,6.5,17,17.9,67.6,63,93,83.8,:,"130,827",11.3,:,:,51.1,12.4,11.2,11,9.1,4,5.6,4.2,2.7,:,359.9,36.6,22.3,100.7,97.3,9,17,"275,194","175,700",:,7.649,9.4,7.2,"43,922","22,300",13,11.9,7,16.3,:,32.1,20,5,:,188,:,"1,412",:,"2,780",:,17,:,"1,368",:,284,6.2,11.3,"38,401","59,132",:,"4,300","278,858","187,100",5.5,6.4,:,3.488,"130,505","87,400","148,353","99,700","124,327","78,000",4.8,6.6,"61,000","80,950","10,700","29,963","22,700","26,302",4.1,6.4,"490,100","282,597",:,15,"4,525","4,900","512,671","304,415","27,700","29,169",88.9,77.8,"11,502","9,300","268,493","27,630",:,137,"306,552","140,610","6,977","4,400","264,469","167,800",:,"75,400","93,433","50,800",:,166.03,5,8,"302,306","163,733","26,717","23,914","38,059","105,400",54.9,59.6,:,41.4,4.7,4.4,11.1,22.3,"12,827","4,500","43,752","30,982","10,809","9,883",4.1,5,0.2,0.1,3.5,5.6,"34,056",:,"38,300","54,648","11,437","10,296","11,874","12,225","16,518","6,100","30,413","23,182","13,645","12,479",59.1,63.2,"60,892","38,600","6,734","5,000","22,825","23,349","71,852","43,201","13,072","11,435",:,"9,845",63.5,66.7,"128,580","82,400",515,150,1.9,8.2,"15,341","4,500","34,080","40,960","18,170","21,882","57,753","28,400","140,142","89,700","14,788","11,270","146,614","93,200","27,579","9,991","37,798","21,933","22,246","20,178","15,625","11,912",73,165,"4,237","2,500","93,830","65,163","276,559","179,249",:,"93,100","50,078","34,181","10,951","11,124","15,910","19,078","23,244","12,645","31,299","16,482","29,579","16,507","52,066","26,341","28,822","13,696","68,088","23,476","32,593","20,548","68,077","40,718","60,878","32,988","274,513","184,218",:,:,"19,352","1,336","40,509","13,486","35,484","20,170","551,072","363,467",:,7,"34,054","21,269",1.8,2.5,"535,900","363,547",:,"11,800","301,086","143,374",:,"29,070",:,"30,705",:,"21,000","40,268","59,830",:,:,:,"230,033.81",:,"138,308.00",:,:,:,472
Coventry/Galati,Coventry,Galati,Romania,RO503C1,UK025C1,:,0.468,6.828,11.831,23.5,40.6,0.3,1.9,161,135,5.7,6.5,15.1,17.9,46.3,63,:,83.8,:,"130,827",:,:,:,51.1,16.6,11.2,14,9.1,4.3,5.6,:,2.7,:,359.9,22.9,22.3,107.7,97.3,:,17,:,"175,700",9.831,7.649,9.9,7.2,:,"22,300",18,11.9,:,16.3,:,32.1,:,5,222,188,"1,333","1,412","2,989","2,780",64,17,"1,656","1,368",582,284,4.5,11.3,:,"59,132","2,076","4,300",:,"187,100",3.7,6.4,3.372,3.488,:,"87,400",:,"99,700",:,"78,000",4.1,6.6,:,"80,950",:,"29,963",:,"26,302",4,6.4,:,"282,597",7,15,:,"4,900",:,"304,415",:,"29,169",:,77.8,:,"9,300",:,"27,630",270,137,"113,196","140,610",:,"4,400",:,"167,800",:,"75,400",:,"50,800",:,166.03,:,8,:,"163,733","12,337","23,914",:,"105,400",:,59.6,:,41.4,:,4.4,:,22.3,:,"4,500","22,733","30,982","6,295","9,883",:,5,:,0.1,:,5.6,:,:,:,"54,648","6,712","10,296","6,200","12,225",:,"6,100","11,271","23,182","6,221","12,479",:,63.2,:,"38,600",:,"5,000","12,119","23,349","54,860","43,201","6,116","11,435",:,"9,845",:,66.7,:,"82,400",:,150,:,8.2,:,"4,500","13,820","40,960","7,053","21,882",:,"28,400",:,"89,700","5,543","11,270",:,"93,200","6,653","9,991","27,461","21,933","13,007","20,178","5,728","11,912",50,165,:,"2,500","46,031","65,163","157,667","179,249",:,"93,100","23,298","34,181","5,919","11,124","6,767","19,078","13,308","12,645","23,168","16,482","19,411","16,507","30,189","26,341","16,881","13,696","17,364","23,476","26,135","20,548","50,473","40,718","42,579","32,988","146,383","184,218",:,:,:,"1,336","10,711","13,486","24,338","20,170","304,050","363,467",5,7,"27,399","21,269",:,2.5,:,"363,547","8,561","11,800",:,"143,374","8,729","29,070","6,549","30,705",:,"21,000","15,278","59,830",:,:,:,"230,033.81",:,"138,308.00",:,:,804,472
Coventry/Greater Arnhem,Coventry,Greater Arnhem,Netherlands,NL009C2,UK025C1,:,0.468,:,11.831,:,40.6,:,1.9,:,135,:,6.5,:,17.9,:,63,:,83.8,:,"130,827",:,:,:,51.1,:,11.2,:,9.1,:,5.6,:,2.7,:,359.9,:,22.3,:,97.3,:,17,:,"175,700",:,7.649,:,7.2,:,"22,300",:,11.9,:,16.3,:,32.1,:,5,:,188,:,"1,412",:,"2,780",:,17,:,"1,368",:,284,:,11.3,:,"59,132",:,"4,300",:,"187,100",:,6.4,:,3.488,:,"87,400",:,"99,700",:,"78,000",:,6.6,:,"80,950",:,"29,963",:,"26,302",:,6.4,:,"282,597",:,15,:,"4,900",:,"304,415",:,"29,169",:,77.8,:,"9,300",:,"27,630",:,137,:,"140,610",:,"4,400",:,"167,800",:,"75,400",:,"50,800",:,166.03,:,8,:,"163,733",:,"23,914",:,"105,400",:,59.6,:,41.4,:,4.4,:,22.3,:,"4,500",:,"30,982",:,"9,883",:,5,:,0.1,:,5.6,:,:,:,"54,648",:,"10,296",:,"12,225",:,"6,100",:,"23,182",:,"12,479",:,63.2,:,"38,600",:,"5,000",:,"23,349",:,"43,201",:,"11,435",:,"9,845",:,66.7,:,"82,400",:,150,:,8.2,:,"4,500",:,"40,960",:,"21,882",:,"28,400",:,"89,700",:,"11,270",:,"93,200",:,"9,991",:,"21,933",:,"20,178",:,"11,912",:,165,:,"2,500",:,"65,163",:,"179,249",:,"93,100",:,"34,181",:,"11,124",:,"19,078",:,"12,645",:,"16,482",:,"16,507",:,"26,341",:,"13,696",:,"23,476",:,"20,548",:,"40,718",:,"32,988",:,"184,218",:,:,:,"1,336",:,"13,486",:,"20,170",:,"363,467",:,7,:,"21,269",:,2.5,:,"363,547",:,"11,800",:,"143,374",:,"29,070",:,"30,705",:,"21,000",:,"59,830",:,:,:,"230,033.81",:,"138,308.00",:,:,:,472
Coventry/Kecskemét,Coventry,Kecskemét,Hungary,HU008C1,UK025C1,1.265,0.468,10.376,11.831,34.6,40.6,-0.2,1.9,204,135,7.2,6.5,12.4,17.9,63,63,:,83.8,"46,537","130,827",:,:,:,51.1,13.3,11.2,13,9.1,5.3,5.6,:,2.7,420.6,359.9,28.5,22.3,113.2,97.3,14,17,:,"175,700",11.307,7.649,10.3,7.2,:,"22,300",16.9,11.9,1,16.3,40,32.1,:,5,108,188,631,"1,412","1,251","2,780",20,17,620,"1,368",199,284,5.7,11.3,"1,099","59,132","1,148","4,300",:,"187,100",5.4,6.4,4.355,3.488,:,"87,400",:,"99,700",:,"78,000",5.3,6.6,"4,986","80,950",741,"29,963","2,981","26,302",5.2,6.4,"105,652","282,597",5,15,"1,249","4,900",:,"304,415",358,"29,169",95.5,77.8,"2,271","9,300",:,"27,630",105,137,"51,029","140,610","1,022","4,400",:,"167,800",:,"75,400",:,"50,800",37.74,166.03,0.3,8,:,"163,733","5,865","23,914",:,"105,400",:,59.6,:,41.4,:,4.4,4.5,22.3,:,"4,500","6,732","30,982","2,943","9,883",:,5,:,0.1,:,5.6,:,:,"2,005","54,648","2,893","10,296","2,831","12,225",:,"6,100","5,975","23,182","2,966","12,479",:,63.2,:,"38,600",:,"5,000","5,779","23,349","18,740","43,201","2,899","11,435",:,"9,845",:,66.7,:,"82,400",:,150,0.7,8.2,:,"4,500","6,349","40,960","3,249","21,882",:,"28,400",:,"89,700","2,832","11,270",:,"93,200","2,606","9,991","9,240","21,933","5,836","20,178","3,143","11,912",29,165,:,"2,500","13,703","65,163","58,749","179,249",:,"93,100","6,971","34,181","2,948","11,124","3,100","19,078","4,603","12,645","8,031","16,482","6,322","16,507","11,395","26,341","6,792","13,696","7,922","23,476","7,656","20,548","14,721","40,718","14,353","32,988","51,889","184,218",:,:,:,"1,336","5,316","13,486","7,065","20,170","110,638","363,467",:,7,"9,500","21,269",:,2.5,:,"363,547",:,"11,800",:,"143,374","1,198","29,070","2,011","30,705",:,"21,000","3,209","59,830",:,:,"74,108.40","230,033.81","57,563.86","138,308.00","1,483",:,307,472
Coventry/Kiel,Coventry,Kiel,Germany,DE039C1,UK025C1,0.081,0.468,:,11.831,26.2,40.6,0.2,1.9,153.7,135,9.7,6.5,18.1,17.9,54.9,63,88.7,83.8,:,"130,827",9.7,:,:,51.1,14,11.2,11.7,9.1,3.8,5.6,3,2.7,:,359.9,28.6,22.3,105.2,97.3,2,17,"125,239","175,700",:,7.649,8.8,7.2,"19,999","22,300",11.9,11.9,11.3,16.3,:,32.1,4,5,:,188,:,"1,412",:,"2,780",:,17,:,"1,368",:,284,8.8,11.3,"27,912","59,132",:,"4,300","126,636","187,100",4.5,6.4,:,3.488,"59,878","87,400","66,759","99,700","56,990","78,000",4,6.6,"42,200","80,950","7,900","29,963","11,000","26,302",4.6,6.4,"205,700","282,597",:,15,"2,262","4,900","220,031","304,415","20,100","29,169",83,77.8,"6,186","9,300","107,534","27,630",:,137,"134,831","140,610","3,924","4,400","119,578","167,800",:,"75,400","55,781","50,800",:,166.03,8.1,8,"156,328","163,733","9,803","23,914","27,297","105,400",53.3,59.6,:,41.4,5.9,4.4,17,22.3,"4,646","4,500","22,170","30,982","4,553","9,883",4.9,5,0.1,0.1,3.8,5.6,"15,145",:,"31,200","54,648","4,923","10,296","5,881","12,225","10,769","6,100","11,237","23,182","5,005","12,479",58.2,63.2,"30,818","38,600","5,515","5,000","11,460","23,349","29,585","43,201","4,798","11,435",:,"9,845",63.5,66.7,"59,008","82,400",95,150,3.2,8.2,"6,096","4,500","21,785","40,960","10,311","21,882","25,734","28,400","62,588","89,700","5,511","11,270","66,230","93,200","9,518","9,991","14,895","21,933","9,476","20,178","5,726","11,912",145,165,"1,729","2,500","44,817","65,163","127,134","179,249",:,"93,100","22,647","34,181","5,579","11,124","11,474","19,078","10,230","12,645","14,991","16,482","14,138","16,507","21,716","26,341","11,486","13,696","24,147","23,476","17,253","20,548","34,788","40,718","29,129","32,988","120,809","184,218",:,:,:,"1,336","14,629","13,486","17,535","20,170","247,943","363,467",:,7,"14,690","21,269",1.7,2.5,"238,200","363,547",:,"11,800","137,448","143,374",:,"29,070",:,"30,705",:,"21,000","35,893","59,830",:,:,:,"230,033.81",:,"138,308.00","5,947",:,:,472
Coventry/Ostrava,Coventry,Ostrava,Czech Republic,CZ003C1,UK025C1,:,0.468,:,11.831,31.9,40.6,:,1.9,179.8,135,:,6.5,:,17.9,64.7,63,:,83.8,:,"130,827",:,:,:,51.1,:,11.2,:,9.1,:,5.6,:,2.7,:,359.9,32.8,22.3,:,97.3,:,17,:,"175,700",:,7.649,:,7.2,:,"22,300",:,11.9,:,16.3,:,32.1,:,5,228,188,:,"1,412",:,"2,780",:,17,:,"1,368",486,284,:,11.3,:,"59,132",:,"4,300",:,"187,100",:,6.4,:,3.488,:,"87,400",:,"99,700",:,"78,000",:,6.6,:,"80,950",:,"29,963",:,"26,302",:,6.4,:,"282,597",19,15,:,"4,900",:,"304,415",:,"29,169",:,77.8,:,"9,300",:,"27,630",203,137,:,"140,610",:,"4,400",:,"167,800",:,"75,400",:,"50,800",:,166.03,:,8,:,"163,733","14,203","23,914",:,"105,400",:,59.6,:,41.4,:,4.4,:,22.3,:,"4,500","19,340","30,982","7,101","9,883",:,5,:,0.1,:,5.6,:,:,:,"54,648","7,414","10,296","6,473","12,225",:,"6,100","14,658","23,182","7,257","12,479",:,63.2,:,"38,600",:,"5,000","12,662","23,349","44,054","43,201","6,946","11,435",:,"9,845",:,66.7,:,"82,400",:,150,:,8.2,:,"4,500","13,819","40,960","7,063","21,882",:,"28,400",:,"89,700","7,081","11,270",:,"93,200","8,372","9,991","22,902","21,933","14,515","20,178","7,577","11,912",:,165,:,"2,500","39,909","65,163",:,"179,249",:,"93,100","20,569","34,181","6,189","11,124","6,756","19,078","14,584","12,645","19,186","16,482","17,418","16,507","34,123","26,341","19,539","13,696","23,427","23,476","20,414","20,548","41,154","40,718","36,604","32,988",:,"184,218",:,:,:,"1,336","15,055","13,486","20,740","20,170",:,"363,467",:,7,"21,152","21,269",:,2.5,:,"363,547",:,"11,800",:,"143,374",:,"29,070",:,"30,705",:,"21,000",:,"59,830",:,:,:,"230,033.81",:,"138,308.00",:,:,714,472
Darlington/Mülheim a.d.Ruhr,Darlington,Mülheim a.d.Ruhr,Germany,DE022C1,UK044C1,0,0.188,:,10.446,30.3,40.8,0.2,0.1,157.4,135.2,13,9.2,11.8,12.1,70.7,76.3,84.9,93.4,:,"46,314",18.6,:,:,49.6,15.8,14.5,14.5,12.9,4.2,6,6.6,3.6,:,435,40.4,35.5,107.3,105.4,0,2,"76,433","48,000",:,10.906,10.7,10.9,"16,498","8,600",11.2,12.2,15.1,5.2,:,43.1,:,1,:,68,:,630,:,"1,161",:,2,:,531,:,106,5.3,5.1,"25,826","5,522",:,"1,112","77,766","52,000",4.6,5.6,:,4.496,"36,664","25,200","41,102","26,800","34,732","22,400",4.4,6.2,"36,700","8,673","6,800","3,965","14,000","4,779",4.5,5.3,"134,600","96,267",:,5,"1,244",800,"145,439","99,418","19,000","1,557",78.6,90.4,"3,319","2,300","65,674","7,020",:,45,"90,909","50,780","2,075","1,500","73,125","45,900",:,"19,600","16,384","14,600",:,55.29,11.1,1.5,"72,291","48,648","7,514","6,636","25,235","39,140",47.2,55.6,:,35.6,5,5.6,21.4,8.1,"4,740","1,750","9,863","6,733","3,513","3,110",4.3,4.4,0.4,0.9,3.4,3.2,"13,476",:,"22,700","3,894","3,738","3,229","4,065","2,865","3,881","2,200","7,837","6,011","3,826","3,366",52.3,59.4,"16,900","12,700","1,516","3,000","7,780","5,663","19,243","12,979","3,688","3,271",:,"3,165",57.9,63.6,"35,963","23,100",279,450,4,3.7,"1,331","1,250","9,030","5,385","4,837","2,710","12,703","7,700","38,393","23,500","3,729","2,905","40,470","24,900","8,675","4,187","9,387","6,299","7,251","6,339","4,108","3,106",36,:,"1,080",500,"20,217","12,902","88,649","54,635",:,"27,300","10,354","6,169","3,715","2,798","4,193","2,676","8,298","5,610","12,780","6,990","11,973","6,727","18,240","11,591","9,942","5,981","22,326","9,846","13,719","7,834","27,074","15,390","24,753","13,717","82,616","51,822",:,:,:,592,"13,651","5,659","13,355","7,556","171,265","106,457",:,1,"9,856","6,680",:,2.2,"168,000","104,940",:,"4,015",:,"47,843",:,:,:,:,:,"4,500","6,123",:,:,:,:,"158,884.98",:,"92,667.00",:,:,:,174
Derby/Osnabrück,Derby,Osnabrück,Germany,DE517C1,UK518C1,0.365,0.35,:,12.345,27.2,44.8,0.2,0.2,161.5,142.3,10.3,7.8,16.8,14.4,56.4,72.9,87.3,88,:,"103,342",11.6,:,:,51.5,13.9,13.3,11.9,10.5,4,6.3,4.1,3.3,:,401.9,29.2,28.1,106.7,102,6,9,"85,871","118,700",:,9.494,8.4,8.5,"14,390","20,000",11.8,12.4,12.7,11.7,:,36.9,3,3,:,170,:,"1,272",:,"2,441",:,15,:,"1,169",:,236,9.6,7.3,"20,894","30,200",:,"3,174","87,452","127,600",4.5,6.6,:,4.096,"41,665","58,300","45,787","69,300","39,508","53,000",4.1,7,"49,200","40,709","8,300","17,006","15,300","15,493",4.9,6.1,"115,100","215,873",:,13,"1,525","2,400","143,480","226,123","12,600","13,194",70,84,"3,847","5,200","59,945","17,000",:,110,"87,777","110,080","2,322","2,800","82,231","113,900",:,"52,700","34,341","37,800",:,109.02,7.7,5.1,"115,456","138,239","6,659","17,952","27,832","82,980",55.7,55.6,:,40.5,5.1,4,29.9,15.8,"4,723","4,500","13,420","18,333","3,153","7,736",4.4,4.1,0.1,0.1,3.7,4.1,"13,429",:,"33,900","25,216","3,348","8,366","4,122","8,172","7,076","5,500","7,316","16,877","3,408","9,093",60.8,61.9,"29,143","32,200","2,299","1,250","8,100","15,678","19,339","31,817","3,251","8,859",:,"7,210",66.3,68.4,"40,937","55,300",88,100,5,6.6,"3,109","4,000","15,762","18,739","7,265","9,881","20,453","22,300","42,724","61,000","3,615","8,352","44,934","63,400","6,446","8,244","9,718","15,656","6,501","16,102","3,701","8,525",157,72,794,"2,500","27,599","37,032","84,869","129,800",:,"66,900","14,179","18,699","3,978","7,506","8,497","8,858","6,396","10,432","10,042","13,653","9,465","13,326","13,850","21,812","7,454","11,381","16,857","19,973","11,427","17,232","22,884","34,146","19,507","26,979","79,505","127,305",:,:,:,"1,135","10,411","11,729","11,457","16,914","164,374","257,104",:,3,"9,621","16,162",1.8,2.4,"158,000","255,749",:,"9,225","87,929","105,145",:,"10,740",:,"7,750",:,"12,300","25,775","18,490",:,:,:,"192,128.37",:,"109,885.00",:,:,:,406
